Name,Industry,Symbol,LTP,SMA50,SMA200,RSI.14.,MACD.12.26.9.,Stochastic.20.3.,MFI.14.,ADX.14.,P.E,Debt.to.Equity,EPS.Rs.,BVPS.Rs.,Net.Profit.Rs..Cr.,DPS.Rs.,NPM_per,ROE_per,YTD_per,X1.Week_per,X1.Month_per,X3.Months_per.,X6.Months_per.,X1.Year_per,X2.Years_per,X3.Years_per,peg,year_inc
Adani Enterpris,Metals & Mining,ADANIENT.NS,3956.6,3524.94,2527.96,71.37,183.72,83.98,84.65,39.97,307.6,0.81,6.55,47.65,475,1,0,13.75,131.45,-1.02,23.28,32.96,87.88,131.16,965.75,1843.32,2.345227203,1993
Adani Green Ene,Power,ADANIGREEN.NS,2110.15,2197.46,2148.53,45.27,-1.07,20.76,69.93,26.6,-2519.34,7.62,-0.76,14.51,424,0,0,-2.51,58.63,-4.76,3.79,-4.87,-7.52,60.55,109.22,2109.58,-41.60759703,2015
Adani Total Gas,Oil Gas & Consumable Fuels,ATGL.NS,3809.65,3483.25,2681.21,63.3,135.98,87.19,70.41,30.44,468.37,0.43,4.59,22.09,504,0.25,0,20.76,121.26,0.38,25.02,9.17,59.5,131.06,1456.87,2499.56,3.573706699,2015
Adani Trans,Power,ADANITRANS.NS,3271.15,3493.94,2776.82,45.38,-28.5,59.63,52.55,30.35,-893.64,2.15,-2.65,36.16,1235,0,0,-1.62,87.91,-0.57,7.77,-8.67,45.39,74.19,861.11,1116.27,-12.04528912,2013
Ambuja Cements,Construction Materials,AMBUJACEM.NS,577.2,518.99,398.06,65.5,19.58,81.83,78.2,26.76,0,0,10.48,111.84,3690,6.3,0,9.36,52.9,2.25,15.01,45.72,56.85,40.85,122.86,187.16,0,1983
Bharat Elec,Capital Goods,BEL.NS,108.3,106.36,85.89,55.1,0.9,61.58,64.89,14.36,21.87,0,9.64,49.18,2354,4.5,0,19.6,54.76,0.23,7.44,10.6,43.22,49.17,236.34,192.07,0.444783405,1954
Eicher Motors,Automobile and Auto Components,EICHERMOT.NS,3503.05,3589.56,2955.83,41,-4.99,10.27,25.03,17.29,42.35,0,58.02,394.83,1616,21,0,14.69,35.15,-6.16,0.74,4.94,33.81,29.25,37.89,64.28,1.447863248,1982
Hindustan Aeron,Capital Goods,HAL.NS,2681.15,2453.45,1890.1,66.55,39.9,91.91,73.83,18.3,9.76,0,152.11,576.09,5080,40,0,26.4,121.46,7.14,14.73,16.71,67.53,87.57,245.4,233.35,0.111453694,2018
ITC,Fast Moving Consumer Goods,ITC.NS,344.1,339.32,284.45,48.23,3.69,37.81,52.31,25.5,20.51,0,12.22,49.82,15485,11.5,0,24.52,57.81,-4.6,3.61,10.8,35.42,46.15,82.45,37.28,0.444420368,1991
M&M,Automobile and Auto Components,M&M.NS,1286.7,1283.34,1055.72,47.85,7.66,44.16,50.33,17.67,19.54,0.17,41.28,325.6,5397,11.55,0,12.66,53.7,-3.8,4.58,-0.12,42.44,33.99,103.8,120.68,0.574874963,1991
